Emotion,Sex,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1,F,0,0.054351852,0.064814815,0.014074074,0.814074074,1.916203704,0.488148148,0.986481481,2.074351852,0.851666667,0.182962963,0.075277778,0.4225,0.018611111,1.574074074,0.187222222,0.121481481
1,F,0.832952381,1.207619048,0.004,0.252857143,1.197142857,2.374285714,1.073714286,0.915428571,1.666190476,1.971904762,0.132190476,0.246,1.221047619,0.263333333,2.696190476,1.074190476,0.71647619
1,F,0.058952381,0.017047619,0.417809524,0.101047619,1.778380952,0.937428571,0.394571429,2.197238095,2.678,1.382095238,0.63552381,0.027047619,1.223333333,0.008,4.23047619,1.154190476,0.378190476
1,F,0.887142857,1.542761905,0.005904762,0.222095238,1.533047619,1.459619048,0.865333333,2.100380952,2.778380952,1.594571429,0.094666667,0.095047619,0.240857143,0.148285714,2.632857143,0.472190476,1.576095238
1,F,0.713714286,1.944952381,0,0.799428571,0.447904762,0.991809524,0.16152381,0.670285714,2.128190476,0.584380952,0.093142857,0.006,0.952380952,0,2.543333333,1.348857143,0.470857143
1,F,0.481272727,0.015272727,0.054454545,0,0.947363636,2.886909091,0.197909091,1.118454545,2.088363636,0.640909091,0.010545455,0,0.528363636,0.019636364,2.130545455,1.285818182,0.426
1,F,0.116909091,0.014818182,0.171181818,0.020545455,1.010272727,2.130909091,0.578545455,1.411545455,1.555727273,0.726,0.194545455,0.143,0.305,0.293545455,2.203636364,0.878272727,0.493
1,F,0,0.141351351,0,0.060990991,2.088468468,3.166756757,0.937207207,1.452882883,2.140630631,1.395405405,0.279369369,0.343153153,0.339009009,0.001081081,0.625585586,0.395945946,0.962522523
1,F,0.481568627,1.448431373,0.011960784,0.430196078,1.261862745,1.264901961,0.378431373,0.983235294,2.778529412,1.481764706,0.028039216,0.008529412,0.717647059,0.063137255,2.508137255,0.820294118,0.769901961
1,F,1.191037736,2.081886792,0.001132075,0.978113208,0.419622642,1.251226415,0.233773585,0.53745283,1.501981132,0.741886792,0.221415094,0.112924528,1.023301887,0.315188679,1.363867925,0.202641509,0.616698113
1,F,0.010849057,0.12990566,0,0.200566038,1.14,2.241792453,1.278773585,1.328207547,1.47509434,0.446698113,0.169528302,0.156509434,0.317924528,0.043962264,1.531698113,1.000754717,0.566132075
1,F,0.837685185,1.351481481,0.000555556,0.927962963,0.759074074,0.464259259,0.072962963,1.371018519,2.133703704,1.443148148,0.163240741,0.037685185,0.998703704,0.048425926,2.351018519,1.090462963,0.0925
1,F,0,0.026814159,0.132831858,0.027876106,0.835132743,1.86159292,0.414424779,1.044159292,2.113451327,0.849380531,0.191327434,0.097787611,0.329115044,0.02300885,1.53920354,0.210353982,0.160707965
1,F,1.016380952,1.38752381,0.002761905,1.404285714,1.226380952,2.192952381,0.792571429,1.212952381,2.036761905,2.044190476,0.131047619,0.405333333,1.035809524,0.255904762,2.568666667,1.227333333,0.356285714
1,F,0.066116505,0.029126214,0.349514563,0.015339806,1.536601942,0.787669903,0.450485437,1.977864078,2.571456311,1.330873786,0.743786408,0.128058252,1.319708738,0.041359223,4.076990291,0.946796117,0.549902913
1,F,0.826538462,1.454903846,0,0.28875,1.458557692,1.501442308,0.581153846,1.802980769,2.880192308,1.470576923,0.069423077,0.090865385,0.385192308,0.088173077,2.484807692,0.162211538,1.825576923
1,F,0.55979798,1.617777778,0,0.671010101,0.596565657,0.845555556,0.13010101,0.951111111,2.173535354,1.091010101,0.024040404,0.034444444,0.868686869,0.002020202,2.09969697,1.812424242,0.111313131
1,F,0.540576923,0.25625,0.059134615,0.010961538,0.549326923,2.574134615,0.025096154,0.720673077,1.591634615,0.464807692,0.011057692,0.026153846,0.694615385,0.074230769,1.558846154,1.25625,0.342211538
1,F,0.11,0.000693069,0.084455446,0.052772277,0.64029703,1.681386139,0.275049505,0.98950495,1.412871287,0.715445545,0.141089109,0.090594059,0.366336634,0.364059406,1.852772277,0.596831683,0.421584158
1,F,0.003571429,0.3575,0.004285714,0.019107143,1.971964286,2.766607143,0.844553571,1.59125,2.019285714,1.360982143,0.238035714,0.635267857,0.448125,0.000535714,0.678303571,0.420178571,1.181964286
1,F,0.340485437,1.03631068,0.053883495,0.018349515,1.713398058,1.474174757,0.594951456,1.271456311,3.139320388,1.639417476,0.022815534,0.010485437,0.51223301,0.022135922,2.568058252,0.501941748,1.574757282
1,F,1.301153846,2.353942308,0,1.045865385,0.379711538,0.813365385,0.161538462,0.199711538,1.229807692,0.485480769,0.139326923,0.023942308,0.505288462,0.113557692,0.950769231,0.262211538,0.993269231
1,F,0.000571429,0.009333333,0.001142857,0.197238095,1.227047619,2.289142857,1.316761905,1.416666667,1.61152381,0.478857143,0.182095238,0.160952381,0.096095238,0.054666667,1.494952381,1.04152381,0.600380952
1,F,0.937809524,1.289238095,0.000571429,0.701904762,0.604095238,0.480666667,0.000285714,1.03152381,2.124761905,1.28847619,0.002571429,0.029142857,0.881714286,0.05847619,2.419714286,1.160190476,0.366761905
1,F,0,0.041171171,0.108918919,0.003513514,1.761711712,2.460900901,0.693783784,1.681891892,2.967657658,1.331261261,0.068468468,0.055765766,0.222972973,0.001711712,2.242792793,0.209099099,0.100900901
1,F,1.461206897,1.932758621,0,1.715086207,1.041982759,2.018448276,0.682327586,1.158103448,2.0025,2.008965517,0.067155172,0.261206897,1.293362069,0.227758621,2.896551724,1.263275862,0.261465517
1,F,0.026730769,0.102884615,0.454230769,0.228653846,1.980288462,1.072788462,0.504326923,2.435288462,2.846826923,1.732980769,0.4025,0.059134615,1.525769231,0.016538462,4.558461538,1.671153846,0.348269231
1,F,0.735929204,1.209115044,0.001150442,0.284867257,1.991769912,1.887699115,0.69920354,2.41,3.026017699,1.44699115,0.112035398,0.028141593,0.436106195,0.06539823,3.052920354,0.406725664,1.447787611
1,F,1.243130435,2.63226087,0,1.465478261,0.505478261,0.91426087,0.074173913,0.747913043,2.165565217,0.852608696,0.086,0.156434783,1.197130435,0.090521739,2.436347826,1.744521739,0.406695652
1,F,1.15504,1.01112,0.10664,0.4484,0.85888,2.13448,0.00504,1.06376,2.20624,0.53072,0,0.01272,0.6068,0.0096,2.23056,1.22912,0.16432
1,F,0.020892857,0,0.294821429,0.000535714,1.836071429,2.969285714,1.140089286,1.790446429,2.045,0.909642857,0.078035714,0.101071429,0.359732143,0.305357143,2.5775,0.781607143,0.48875
1,F,0.030530973,0.652123894,0.062566372,0.014867257,1.915221239,2.831327434,0.848849558,1.671946903,2.054867257,1.385840708,0.141858407,0.460442478,0.414513274,0,0.982212389,0.693628319,0.936902655
1,F,0.994247788,2.125044248,0.062477876,0.989734513,1.682035398,1.390265487,0.700265487,1.825309735,2.815132743,1.453185841,0.223451327,0.033982301,0.79619469,0.001504425,3.663274336,1.556548673,0.825044248
1,F,0.366545455,0.698818182,0.003636364,0.812636364,1.113727273,1.671727273,0.784818182,0.761909091,1.477181818,0.809181818,0.314545455,0.006636364,0.914272727,0.112454545,0.994181818,0.120727273,0.161545455
1,F,0.0875,0.490178571,0,0.326607143,1.193125,2.120357143,1.282053571,1.568928571,1.791160714,0.413928571,0.272410714,0.15875,0.1825,0.026339286,1.921607143,1.255357143,0.559017857
1,F,1.577333333,2.023916667,0,0.852416667,0.9345,0.623333333,0,1.555416667,2.701583333,1.652916667,0.01825,0.048833333,1.49125,0.070166667,2.9975,1.530583333,0.13925
1,F,0,0.003513514,0.091981982,0.012522523,1.517567568,2.278558559,0.613873874,1.60009009,2.756036036,1.133063063,0.137747748,0.128198198,0.186756757,0.005855856,2.068198198,0.193873874,0.082792793
1,F,0.895092593,1.086944444,0.003333333,1.156018519,1.305648148,2.27462963,0.955740741,1.297407407,1.868333333,2.082777778,0.210277778,0.446203704,1.243703704,0.285092593,2.623518519,1.431759259,0.318240741
1,F,0.036792453,0.048396226,0.362264151,0.085471698,1.949716981,1.210566038,0.918679245,2.522641509,2.90754717,1.826886792,0.443679245,0.022641509,1.528018868,0.011792453,4.674716981,1.38254717,0.24745283
1,F,1.477565217,2.474956522,0,0.503391304,1.819304348,1.825217391,0.601565217,2.370173913,3.06826087,1.419913043,0.157826087,0.068869565,0.445565217,0.100086957,3.124434783,0.416956522,1.495565217
1,F,0.406071429,1.565892857,0,1.128214286,0.267142857,1.058125,0.33625,0.514017857,1.664642857,0.768303571,0.278392857,0.155625,1.158125,0.061428571,1.84,1.315357143,0.139375
1,F,0.59112069,0.223448276,0.005344828,0.046896552,1.300431034,2.924224138,0.157155172,1.367672414,2.456637931,0.714568966,0.006982759,0.012931034,0.421810345,0.017241379,2.079396552,0.706551724,0.467155172
1,F,0.002105263,0,0.303157895,0,1.971754386,3.442807018,1.476052632,1.741666667,2.157105263,0.917719298,0.087807018,0.009298246,0.477192982,0.088157895,2.715877193,0.738157895,0.719649123
1,F,0.016902655,0.515663717,0.044424779,0.014336283,2.273716814,2.941946903,0.925663717,1.962831858,2.267610619,1.289911504,0.131238938,0.498938053,0.313451327,0,0.933097345,0.515221239,0.856725664
1,F,0.675132743,1.498495575,0.062477876,0.601415929,1.984955752,1.318849558,0.822389381,1.97619469,2.955575221,1.446017699,0.236283186,0.030176991,0.605221239,0.012035398,3.413362832,0.867345133,0.763628319
1,F,0.913551402,1.212990654,0.014299065,0.894018692,0.428691589,0.803364486,0.111588785,1.166542056,1.252616822,0.654953271,0.153925234,0.129158879,0.485233645,0.423271028,1.049813084,0.594579439,0.278317757
1,F,0.602454545,0.990454545,0,0.544909091,1.075,1.872636364,1.035909091,1.636545455,1.685727273,0.350454545,0.312090909,0.141818182,0.229181818,0.007727273,1.955181818,1.141636364,0.483272727
1,F,1.64887931,2.038534483,0,1.553017241,1.124224138,0.810603448,0.011293103,1.227672414,3.115862069,1.993189655,0.001551724,0.010344828,0.418448276,0.192672414,2.99887931,1.53,0.015517241
